1,126,1863,167,3185,,1920
1,126,2293,166,2786,REORGANIZATION
1,133,177,184,1497,288 THE ROYAL MONTREAL REGIMENT 1920
1,133,3123,164,3185,289
1,226,1866,267,3183,"Price was gazetted lieutenant-colonel, and selected his officers. On"
1,231,181,282,1492,"F. W. Fisher, original Commanding Officer of the Westmount Rifles,"
1,278,1865,319,3182,"July 2nd, 1920, when the General Order establishing the Regiment on"
1,282,183,326,1493,who bad left that unit to command the 23rd Battalion of the Cana¬
1,329,1867,370,3182,"a peace footing was promulgated, officers had been chosen, and on"
1,333,184,385,1495,"dian Expeditionary Force and, during the heart-breaking winter"
1,382,1866,422,3180,August 3rd Battalion Orders No. 1 announced the following estab¬
1,387,184,432,1497,"months of 1915 and 1916, had commanded the 14th Battalion at"
1,433,1867,467,2084,lishment:—
1,438,185,481,1497,Messines. For the ultimate success attending efforts to establish the
1,489,187,536,1496,"old 14th on a peace basis, the Regiment gratefully acknowledges"
1,536,1930,578,3183,"Officer Commanding - Lieut.-Col. C. B. Price, D.S.O., D.C.M."
1,542,185,586,1113,Lieut.-Col. Fisher’s large share of responsibility.
1,588,1927,628,2898,Second-in-Coihmand - Major J. H. Richardson.
1,593,246,635,1497,"When the Canadian Militia was reorganized in 1920, the combined"
1,639,1925,683,3073,"Adjutant ----- Capt. J. W. Green, M.C., D.C.M."
1,644,187,687,1498,14th Battalion and Westmount Rifles were given a place on the Militia
1,689,1927,732,2792,Quartermaster - - - Capt. W. B. Clark.
1,696,186,740,1496,"List under the title “ The Royal Montreal Regiment ”, with Head¬"
1,743,1927,784,2817,Assistant Adjutant - Lieut. A. D. Brewer.
1,747,188,796,1497,"quarters at Westmount, P.Q. Two battalions were authorized, the"
1,795,1927,830,2783,Director of Music - - Lieut. H. G. Jones.
1,800,188,845,1496,"first an “ active ” unit, and the second a “ reserve "" formation, with"
1,847,1928,889,2894,"Signalling Officer - - Lieut. A. F. Shaw, M.C."
1,851,187,900,1497,"personnel to be called up only in the event of emergency, or national"
1,899,1927,941,2810,Musketry Officer - - Capt. H. Armstrong.
1,903,189,951,1456,peril. Under this plan the Militia unit was composed as follows:—
1,951,2416,992,3069,Lieut. (Bvt. Major) H. W. Tate.
1,1015,532,1057,1167,The Royal Montreal Regiment
1,1053,1925,1100,3176,"No. 1 Coy.—Major J. E. McKenna, M.C-, Capt. D. MacRitchie,"
1,1092,337,1135,1362,"1st (Westmount) Battalion (14th Battalion, C.E.F.)."
1,1105,1863,1152,3176,"Lieut. C. H. Sullivan, Lieut. J. S. Brander, Lieut. J. A. C. Thatcher,"
1,1143,338,1186,1363,"2nd (Reserve) Battalion (23rd Battalion, C.E.F.)."
1,1157,1863,1199,2578,"Lieut. R. B. Henry, Lieut. E. Walton."
1,1219,251,1263,1497,The General Order reorganizing the Militia stated that Command¬
1,1225,1924,1272,3173,"No. 2 Coy.—Major G. V. Whitehead, Capt. N. M. Mowat, Lieut."
